Time(s),Target_Vx,Go1_Vx,Target_YawRate,Go1_YawRate,Target_Roll,Go1_Roll,Stab_Roll,Obj_Roll,Target_Pitch,Go1_Pitch,Stab_Pitch,Obj_Pitch,Go1_Accel_X,Go1_Accel_Y,Go1_Accel_Z
0.797,0.300,0.308,0.000,0.006,0.000,-0.171,0.000,0.000,0.000,0.200,0.000,0.000,1.176,-1.270,7.684
0.807,0.300,0.308,0.000,0.006,0.000,-0.171,0.000,0.000,0.000,0.200,0.000,0.000,1.176,-1.270,7.684
0.817,0.300,0.335,0.000,0.072,0.000,0.191,0.000,0.000,0.000,-0.012,0.000,0.000,2.102,-1.998,5.716
0.827,0.300,0.335,0.000,0.072,0.000,0.191,0.000,0.000,0.000,-0.012,0.000,0.000,2.102,-1.998,5.716
0.838,0.300,0.318,0.000,-0.007,0.000,0.752,0.000,0.000,0.000,-0.130,0.000,0.000,3.468,-4.339,10.504
0.848,0.300,0.318,0.000,-0.007,0.000,0.752,0.000,0.000,0.000,-0.130,0.000,0.000,3.468,-4.339,10.504
0.858,0.300,0.325,0.000,-0.053,0.000,0.237,0.000,0.000,0.000,-0.313,0.000,0.000,-2.743,-1.192,13.185
0.868,0.300,0.325,0.000,-0.053,0.000,0.237,0.000,0.000,0.000,-0.313,0.000,0.000,-2.743,-1.192,13.185
0.879,0.300,0.321,0.000,-0.001,0.000,0.158,0.000,0.000,0.000,-0.046,0.000,0.000,0.107,0.642,6.376
0.889,0.300,0.321,0.000,-0.001,0.000,0.158,0.000,0.000,0.000,-0.046,0.000,0.000,0.107,0.642,6.376
0.899,0.300,0.316,0.000,0.059,0.000,0.370,0.000,0.000,0.000,0.066,0.000,0.000,0.222,0.743,10.658
0.910,0.300,0.316,0.000,0.059,0.000,0.370,0.000,0.000,0.000,0.066,0.000,0.000,0.222,0.743,10.658
0.920,0.300,0.309,0.000,0.193,0.000,0.709,0.000,0.000,0.000,0.114,0.000,0.000,0.684,-0.048,7.124
0.930,0.300,0.309,0.000,0.193,0.000,0.709,0.000,0.000,0.000,0.114,0.000,0.000,0.684,-0.048,7.124
0.941,0.300,0.298,0.000,0.160,0.000,0.890,0.000,0.000,0.000,0.062,0.000,0.000,-0.862,0.726,7.785
0.951,0.300,0.298,0.000,0.160,0.000,0.890,0.000,0.000,0.000,0.062,0.000,0.000,-0.862,0.726,7.785
0.961,0.300,0.295,0.000,0.088,0.000,0.937,0.000,0.000,0.000,-0.058,0.000,0.000,0.921,1.217,7.957
0.971,0.300,0.295,0.000,0.088,0.000,0.937,0.000,0.000,0.000,-0.058,0.000,0.000,0.921,1.217,7.957
0.982,0.300,0.315,0.000,-0.060,0.000,0.603,0.000,0.000,0.000,-0.278,0.000,0.000,0.429,2.450,8.147
0.992,0.300,0.315,0.000,-0.060,0.000,0.603,0.000,0.000,0.000,-0.278,0.000,0.000,0.429,2.450,8.147
1.003,0.300,0.307,0.000,-0.038,0.000,1.099,0.000,0.000,0.000,0.138,0.000,0.000,5.191,-6.457,7.034
1.013,0.300,0.307,0.000,-0.038,0.000,1.099,0.000,0.000,0.000,0.138,0.000,0.000,5.191,-6.457,7.034
1.023,0.300,0.379,0.000,-0.110,0.000,0.986,0.000,0.000,0.000,0.279,0.000,0.000,-2.260,-0.085,11.052
1.033,0.300,0.354,0.000,-0.022,0.000,0.908,0.000,0.000,0.000,0.640,0.000,0.000,-0.236,0.893,10.805
1.044,0.300,0.354,0.000,-0.022,0.000,0.908,0.000,0.000,0.000,0.640,0.000,0.000,-0.236,0.893,10.805
1.054,0.300,0.346,0.000,-0.004,0.000,0.755,0.000,0.000,0.000,0.720,0.000,0.000,-0.093,-2.019,12.071
1.065,0.300,0.346,0.000,-0.004,0.000,0.755,0.000,0.000,0.000,0.720,0.000,0.000,-0.093,-2.019,12.071
1.075,0.300,0.336,0.000,-0.062,0.000,0.770,0.000,0.000,0.000,0.597,0.000,0.000,-1.038,0.942,5.375
1.085,0.300,0.336,0.000,-0.062,0.000,0.770,0.000,0.000,0.000,0.597,0.000,0.000,-1.038,0.942,5.375
1.095,0.300,0.315,0.000,-0.068,0.000,0.880,0.000,0.000,0.000,0.424,0.000,0.000,-0.325,0.228,6.758
1.106,0.300,0.315,0.000,-0.068,0.000,0.880,0.000,0.000,0.000,0.424,0.000,0.000,-0.325,0.228,6.758
1.116,0.300,0.320,0.000,-0.027,0.000,1.085,0.000,0.000,0.000,0.189,0.000,0.000,1.149,-1.477,11.306
1.126,0.300,0.320,0.000,-0.027,0.000,1.085,0.000,0.000,0.000,0.189,0.000,0.000,1.149,-1.477,11.306
1.136,0.300,0.351,0.000,0.105,0.000,1.352,0.000,0.000,0.000,0.011,0.000,0.000,0.329,-4.662,13.575
1.146,0.300,0.351,0.000,0.105,0.000,1.352,0.000,0.000,0.000,0.011,0.000,0.000,0.329,-4.662,13.575
1.157,0.300,0.355,0.000,0.044,0.000,1.690,0.000,0.000,0.000,-0.046,0.000,0.000,4.185,-3.102,8.263
1.167,0.300,0.355,0.000,0.044,0.000,1.690,0.000,0.000,0.000,-0.046,0.000,0.000,4.185,-3.102,8.263
1.177,0.300,0.345,0.000,-0.065,0.000,1.333,0.000,0.000,0.000,-0.105,0.000,0.000,-3.179,1.361,14.201
1.187,0.300,0.345,0.000,-0.065,0.000,1.333,0.000,0.000,0.000,-0.105,0.000,0.000,-3.179,1.361,14.201
1.198,0.300,0.366,0.000,-0.075,0.000,1.259,0.000,0.000,0.000,0.158,0.000,0.000,0.623,0.106,9.257
1.208,0.300,0.366,0.000,-0.075,0.000,1.259,0.000,0.000,0.000,0.158,0.000,0.000,0.623,0.106,9.257
1.218,0.300,0.348,0.000,-0.022,0.000,1.451,0.000,0.000,0.000,0.312,0.000,0.000,1.106,-0.029,8.195
1.229,0.300,0.348,0.000,-0.022,0.000,1.451,0.000,0.000,0.000,0.312,0.000,0.000,1.106,-0.029,8.195
1.239,0.300,0.345,0.000,0.028,0.000,1.700,0.000,0.000,0.000,0.330,0.000,0.000,-0.417,0.065,6.367
1.249,0.300,0.345,0.000,0.028,0.000,1.700,0.000,0.000,0.000,0.330,0.000,0.000,-0.417,0.065,6.367
1.260,0.300,0.332,0.000,0.034,0.000,1.789,0.000,0.000,0.000,0.291,0.000,0.000,-0.031,0.617,6.871
1.270,0.300,0.332,0.000,0.034,0.000,1.789,0.000,0.000,0.000,0.291,0.000,0.000,-0.031,0.617,6.871
1.280,0.300,0.339,0.000,0.076,0.000,1.790,0.000,0.000,0.000,0.116,0.000,0.000,1.597,1.524,11.004
1.291,0.300,0.339,0.000,0.076,0.000,1.790,0.000,0.000,0.000,0.116,0.000,0.000,1.597,1.524,11.004
1.301,0.300,0.365,0.000,-0.014,0.000,1.413,0.000,0.000,0.000,-0.137,0.000,0.000,1.254,0.575,13.698
1.311,0.300,0.365,0.000,-0.014,0.000,1.413,0.000,0.000,0.000,-0.137,0.000,0.000,1.254,0.575,13.698
1.322,0.300,0.362,0.000,-0.071,0.000,1.497,0.000,0.000,0.000,0.055,0.000,0.000,3.908,-2.730,-4.940
1.332,0.300,0.362,0.000,-0.071,0.000,1.497,0.000,0.000,0.000,0.055,0.000,0.000,3.908,-2.730,-4.940
1.342,0.300,0.394,0.000,-0.067,0.000,1.573,0.000,0.000,0.000,0.120,0.000,0.000,-2.937,0.021,13.343
1.353,0.300,0.369,0.000,-0.086,0.000,1.397,0.000,0.000,0.000,0.425,0.000,0.000,0.195,0.474,11.982
1.363,0.300,0.369,0.000,-0.086,0.000,1.397,0.000,0.000,0.000,0.425,0.000,0.000,0.195,0.474,11.982
1.373,0.300,0.362,0.000,-0.010,0.000,1.195,0.000,0.000,0.000,0.545,0.000,0.000,0.217,-1.702,9.639
1.384,0.300,0.362,0.000,-0.010,0.000,1.195,0.000,0.000,0.000,0.545,0.000,0.000,0.217,-1.702,9.639
1.394,0.300,0.358,0.000,-0.006,0.000,1.148,0.000,0.000,0.000,0.463,0.000,0.000,-1.071,0.600,5.648
1.404,0.300,0.358,0.000,-0.006,0.000,1.148,0.000,0.000,0.000,0.463,0.000,0.000,-1.071,0.600,5.648
1.414,0.300,0.342,0.000,-0.026,0.000,1.227,0.000,0.000,0.000,0.311,0.000,0.000,0.055,0.459,7.328
1.425,0.300,0.342,0.000,-0.026,0.000,1.227,0.000,0.000,0.000,0.311,0.000,0.000,0.055,0.459,7.328
1.435,0.300,0.352,0.000,0.032,0.000,1.380,0.000,0.000,0.000,0.113,0.000,0.000,0.795,-0.920,10.177
1.445,0.300,0.352,0.000,0.032,0.000,1.380,0.000,0.000,0.000,0.113,0.000,0.000,0.795,-0.920,10.177
1.455,0.300,0.382,0.000,0.120,0.000,1.674,0.000,0.000,0.000,-0.076,0.000,0.000,2.650,-3.109,12.670
1.465,0.300,0.382,0.000,0.120,0.000,1.674,0.000,0.000,0.000,-0.076,0.000,0.000,2.650,-3.109,12.670
1.475,0.300,0.373,0.000,-0.037,0.000,1.641,0.000,0.000,0.000,0.038,0.000,0.000,0.982,-3.214,19.434
1.486,0.300,0.373,0.000,-0.037,0.000,1.641,0.000,0.000,0.000,0.038,0.000,0.000,0.982,-3.214,19.434
1.496,0.300,0.372,0.000,-0.076,0.000,1.466,0.000,0.000,0.000,0.047,0.000,0.000,-4.673,-0.303,9.264
1.506,0.300,0.372,0.000,-0.076,0.000,1.466,0.000,0.000,0.000,0.047,0.000,0.000,-4.673,-0.303,9.264
1.516,0.300,0.369,0.000,-0.017,0.000,1.432,0.000,0.000,0.000,0.248,0.000,0.000,-1.913,2.245,7.707
1.526,0.300,0.369,0.000,-0.017,0.000,1.432,0.000,0.000,0.000,0.248,0.000,0.000,-1.913,2.245,7.707
1.536,0.300,0.353,0.000,0.048,0.000,1.637,0.000,0.000,0.000,0.380,0.000,0.000,0.124,1.548,8.714
1.547,0.300,0.353,0.000,0.048,0.000,1.637,0.000,0.000,0.000,0.380,0.000,0.000,0.124,1.548,8.714
1.557,0.300,0.349,0.000,0.094,0.000,1.893,0.000,0.000,0.000,0.351,0.000,0.000,0.314,0.410,7.581
1.567,0.300,0.349,0.000,0.094,0.000,1.893,0.000,0.000,0.000,0.351,0.000,0.000,0.314,0.410,7.581
1.577,0.300,0.337,0.000,0.093,0.000,1.947,0.000,0.000,0.000,0.240,0.000,0.000,-0.375,-0.020,7.803
1.588,0.300,0.337,0.000,0.093,0.000,1.947,0.000,0.000,0.000,0.240,0.000,0.000,-0.375,-0.020,7.803
1.598,0.300,0.338,0.000,0.018,0.000,1.863,0.000,0.000,0.000,0.026,0.000,0.000,1.601,0.922,13.634
1.608,0.300,0.338,0.000,0.018,0.000,1.863,0.000,0.000,0.000,0.026,0.000,0.000,1.601,0.922,13.634
1.618,0.300,0.362,0.000,-0.087,0.000,1.420,0.000,0.000,0.000,-0.258,0.000,0.000,0.862,4.514,2.671
1.628,0.300,0.362,0.000,-0.087,0.000,1.420,0.000,0.000,0.000,-0.258,0.000,0.000,0.862,4.514,2.671
1.638,0.300,0.368,0.000,-0.025,0.000,1.585,0.000,0.000,0.000,-0.087,0.000,0.000,1.332,-4.060,12.963
1.649,0.300,0.368,0.000,-0.025,0.000,1.585,0.000,0.000,0.000,-0.087,0.000,0.000,1.332,-4.060,12.963
1.659,0.300,0.366,0.000,-0.051,0.000,1.509,0.000,0.000,0.000,0.066,0.000,0.000,-3.372,-0.731,11.126
1.669,0.300,0.366,0.000,-0.051,0.000,1.509,0.000,0.000,0.000,0.066,0.000,0.000,-3.372,-0.731,11.126
1.679,0.300,0.375,0.000,-0.008,0.000,1.249,0.000,0.000,0.000,0.420,0.000,0.000,0.089,1.297,13.349
1.689,0.300,0.375,0.000,-0.008,0.000,1.249,0.000,0.000,0.000,0.420,0.000,0.000,0.089,1.297,13.349
1.699,0.300,0.366,0.000,-0.003,0.000,0.966,0.000,0.000,0.000,0.605,0.000,0.000,1.573,0.441,4.922
1.710,0.300,0.366,0.000,-0.003,0.000,0.966,0.000,0.000,0.000,0.605,0.000,0.000,1.573,0.441,4.922
1.720,0.300,0.363,0.000,-0.077,0.000,0.846,0.000,0.000,0.000,0.580,0.000,0.000,-1.625,0.920,4.828
1.731,0.300,0.363,0.000,-0.077,0.000,0.846,0.000,0.000,0.000,0.580,0.000,0.000,-1.625,0.920,4.828
1.741,0.300,0.343,0.000,-0.102,0.000,0.849,0.000,0.000,0.000,0.501,0.000,0.000,-0.337,0.251,7.431
1.751,0.300,0.343,0.000,-0.102,0.000,0.849,0.000,0.000,0.000,0.501,0.000,0.000,-0.337,0.251,7.431
1.761,0.300,0.355,0.000,-0.037,0.000,0.965,0.000,0.000,0.000,0.379,0.000,0.000,0.737,-0.623,8.467
1.772,0.300,0.355,0.000,-0.037,0.000,0.965,0.000,0.000,0.000,0.379,0.000,0.000,0.737,-0.623,8.467
1.782,0.300,0.382,0.000,0.056,0.000,1.205,0.000,0.000,0.000,0.200,0.000,0.000,3.285,-0.274,6.786
1.792,0.300,0.382,0.000,0.056,0.000,1.205,0.000,0.000,0.000,0.200,0.000,0.000,3.285,-0.274,6.786
1.802,0.300,0.371,0.000,-0.023,0.000,1.665,0.000,0.000,0.000,0.090,0.000,0.000,4.149,-3.173,10.841
1.812,0.300,0.383,0.000,-0.007,0.000,1.103,0.000,0.000,0.000,-0.184,0.000,0.000,-3.458,0.518,13.547
1.822,0.300,0.383,0.000,-0.007,0.000,1.103,0.000,0.000,0.000,-0.184,0.000,0.000,-3.458,0.518,13.547
1.832,0.300,0.365,0.000,-0.029,0.000,0.873,0.000,0.000,0.000,0.001,0.000,0.000,0.046,0.764,5.733
1.843,0.300,0.365,0.000,-0.029,0.000,0.873,0.000,0.000,0.000,0.001,0.000,0.000,0.046,0.764,5.733
1.853,0.300,0.367,0.000,0.052,0.000,0.930,0.000,0.000,0.000,0.084,0.000,0.000,0.382,0.413,9.441
1.863,0.300,0.367,0.000,0.052,0.000,0.930,0.000,0.000,0.000,0.084,0.000,0.000,0.382,0.413,9.441
1.873,0.300,0.353,0.000,0.195,0.000,1.179,0.000,0.000,0.000,0.089,0.000,0.000,0.062,-0.110,6.011
1.883,0.300,0.353,0.000,0.195,0.000,1.179,0.000,0.000,0.000,0.089,0.000,0.000,0.062,-0.110,6.011
1.893,0.300,0.342,0.000,0.158,0.000,1.319,0.000,0.000,0.000,0.010,0.000,0.000,-1.297,-0.026,8.825
1.904,0.300,0.342,0.000,0.158,0.000,1.319,0.000,0.000,0.000,0.010,0.000,0.000,-1.297,-0.026,8.825
1.914,0.300,0.339,0.000,0.113,0.000,1.327,0.000,0.000,0.000,-0.165,0.000,0.000,0.788,2.064,6.692
1.925,0.300,0.339,0.000,0.113,0.000,1.327,0.000,0.000,0.000,-0.165,0.000,0.000,0.788,2.064,6.692
1.935,0.300,0.355,0.000,-0.131,0.000,0.845,0.000,0.000,0.000,-0.420,0.000,0.000,1.910,1.966,8.368
1.945,0.300,0.355,0.000,-0.131,0.000,0.845,0.000,0.000,0.000,-0.420,0.000,0.000,1.910,1.966,8.368
1.956,0.300,0.350,0.000,-0.086,0.000,1.285,0.000,0.000,0.000,-0.099,0.000,0.000,2.504,-4.184,-3.832
1.966,0.300,0.350,0.000,-0.086,0.000,1.285,0.000,0.000,0.000,-0.099,0.000,0.000,2.504,-4.184,-3.832
1.977,0.300,0.407,0.000,-0.151,0.000,1.311,0.000,0.000,0.000,0.328,0.000,0.000,-3.060,0.227,14.997
1.987,0.300,0.407,0.000,-0.151,0.000,1.311,0.000,0.000,0.000,0.328,0.000,0.000,-3.060,0.227,14.997
1.997,0.300,0.389,0.000,-0.084,0.000,0.998,0.000,0.000,0.000,0.677,0.000,0.000,0.495,1.085,14.142
2.008,0.300,0.389,0.000,-0.084,0.000,0.998,0.000,0.000,0.000,0.677,0.000,0.000,0.495,1.085,14.142
2.018,0.300,0.379,0.000,-0.019,0.000,0.676,0.000,0.000,0.000,0.770,0.000,0.000,0.441,-1.404,8.028
2.028,0.300,0.379,0.000,-0.019,0.000,0.676,0.000,0.000,0.000,0.770,0.000,0.000,0.441,-1.404,8.028
2.039,0.300,0.377,0.000,0.001,0.000,0.685,0.000,0.000,0.000,0.688,0.000,0.000,-1.064,0.137,6.076
2.049,0.300,0.377,0.000,0.001,0.000,0.685,0.000,0.000,0.000,0.688,0.000,0.000,-1.064,0.137,6.076
2.060,0.300,0.351,0.000,0.008,0.000,0.741,0.000,0.000,0.000,0.532,0.000,0.000,-0.316,0.566,6.010
2.070,0.300,0.351,0.000,0.008,0.000,0.741,0.000,0.000,0.000,0.532,0.000,0.000,-0.316,0.566,6.010
2.080,0.300,0.355,0.000,0.002,0.000,0.901,0.000,0.000,0.000,0.289,0.000,0.000,0.757,-1.559,11.798
2.091,0.300,0.355,0.000,0.002,0.000,0.901,0.000,0.000,0.000,0.289,0.000,0.000,0.757,-1.559,11.798
2.101,0.300,0.381,0.000,0.085,0.000,1.158,0.000,0.000,0.000,0.118,0.000,0.000,0.967,-3.676,10.333
2.111,0.300,0.381,0.000,0.085,0.000,1.158,0.000,0.000,0.000,0.118,0.000,0.000,0.967,-3.676,10.333
